Unnamed: 0,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
56,Tolley Brett,Principal Accounting Officer,S - Sale+OE,RBLX,$89.50,"-1,048","-$93,796","34,795",-3%,2021-07-06 19:20:33,2021-07-01
57,McDonald John Michael,COO,S - Sale+OE,POSH,$43.96,"-4,936","-$216,999","52,746",-9%,2021-07-06 19:15:39,2021-07-02
58,Welgus Howard G.,Dir,S - Sale+OE,ARQT,$26.13,"-2,200","-$57,476","206,887",-1%,2021-07-06 19:14:41,2021-07-01
59,Newcomer Mark,"CEO, 10%",S - Sale,PAYS,$3.13,"-39,949","-$125,134","9,322,492",0%,2021-07-06 19:14:37,2021-07-01
60,"Slta V (Gp), L.L.C.","Dir, 10%",S - Sale,DELL,$98.68,"-62,389","-$6,156,440","201,526",-24%,2021-07-06 19:14:28,2021-07-01
61,"Silver Lake Group, L.L.C.","Dir, 10%",S - Sale,DELL,$98.68,"-62,389","-$6,156,440","201,526",-24%,2021-07-06 19:14:05,2021-07-01
62,Lanford Matthew Louis,"COO, Pres",S - Sale,PAYS,$3.15,"-7,180","-$22,600","24,562",-23%,2021-07-06 19:13:36,2021-07-01
63,Boskin Michael J,Dir,S - Sale+OE,ORCL,$80.04,"-37,500","-$3,001,361","79,162",-32%,2021-07-06 19:13:30,2021-07-02
64,Kashyap Anan,CFO,S - Sale+OE,POSH,$43.96,"-6,087","-$267,600","52,746",-10%,2021-07-06 19:10:08,2021-07-02
65,West Tony,See Remarks,S - Sale,UBER,$50.51,"-6,500","-$328,315","165,609",-4%,2021-07-06 19:05:46,2021-07-02
66,Dorny D Matthew,GC,S - Sale+OE,NUS,$56.88,"-6,200","-$352,680","47,159",-12%,2021-07-06 19:05:21,2021-07-02
67,Chandra Manish,"Pres, CEO",S - Sale+OE,POSH,$43.96,"-3,292","-$144,725",0,-100%,2021-07-06 19:04:57,2021-07-02
68,Glaser Rachel C,CFO,S - Sale+OE,ETSY,$200.77,"-13,500","-$2,710,344","31,508",-30%,2021-07-06 19:04:25,2021-07-01
69,Doogue Michael,"SVP of Technology, Products",S - Sale,ALGM,$27.34,"-8,913","-$243,681","562,560",-2%,2021-07-06 19:04:21,2021-07-01
70,Vig Ravi,"Pres, CEO",S - Sale,ALGM,$27.64,"-160,000","-$4,422,929","2,995,074",-5%,2021-07-06 19:03:32,2021-07-01
71,White W Brett,"Exec COB, CEO",S - Sale+OE,CWK,$17.40,"-62,863","-$1,093,706","1,152,415",-5%,2021-07-06 19:03:24,2021-07-01
72,Scott Ryan M.,CMO,S - Sale+OE,ETSY,$197.31,"-5,912","-$1,166,475",0,-100%,2021-07-06 19:02:58,2021-07-02
73,Fisher Michael T,CTO,S - Sale+OE,ETSY,$197.53,"-8,796","-$1,737,506","23,243",-27%,2021-07-06 19:02:20,2021-07-02
74,Patel Goyal Kruti,Chief Product Officer,S - Sale+OE,ETSY,$200.63,"-6,800","-$1,364,313","32,321",-17%,2021-07-06 18:58:36,2021-07-01
75,Buckley Merilee,Chief Accounting Officer,S - Sale+OE,ETSY,$199.22,"-1,484","-$295,644",0,-100%,2021-07-06 18:55:10,2021-07-01
76,Rangan Yamini,Chief Customer Officer,S - Sale,HUBS,$592.00,"-2,106","-$1,246,752","47,123",-4%,2021-07-06 18:46:50,2021-07-02
77,Davis Andrew S.,Chief Commercial Officer,S - Sale+OE,SILK,$48.06,"-6,324","-$303,931","31,592",-17%,2021-07-06 18:42:43,2021-07-01
78,Bvf Partners L P/il,See Remarks,P - Purchase,KYMR,$47.00,"+544,166","+$25,575,802","208,538",-162%,2021-07-06 18:40:29,2021-07-01
79,Swaysland Jack H,"COO, International",S - Sale+OE,PZZA,$104.15,"-7,246","-$754,671","13,661",-35%,2021-07-06 18:39:52,2021-07-06
80,Head Tyler W. K.,Dir,S - Sale,ELVT,$3.70,"-33,969","-$125,842","112,782",-23%,2021-07-06 18:37:26,2021-07-06
81,Schwab Charles R.,COB,S - Sale,SCHW,$71.82,"-16,400","-$1,177,845","117,747,858",0%,2021-07-06 18:28:29,2021-07-06
82,Cozadd Bruce C,"COB, CEO",S - Sale,JAZZ,$180.67,"-10,850","-$1,960,270","308,888",-3%,2021-07-06 18:27:39,2021-07-01
83,Simoncini Matthew,Dir,P - Purchase,LAZR,$22.00,"+22,727","+$499,994","31,833",+250%,2021-07-06 18:25:14,2021-07-01
84,Eisenhardt Elizabeth H,10%,S - Sale+OE,LEVI,$28.22,"-59,786","-$1,687,053","29,893",-67%,2021-07-06 18:25:07,2021-07-06
85,Heng Jun Hong,Dir,P - Purchase,LAZR,$22.00,"+4,545","+$99,990","2,669,287",0%,2021-07-06 18:24:14,2021-07-01
86,Staglin Garen K,Dir,P - Purchase,EXLS,$107.12,"+2,500","+$267,800","28,753",+10%,2021-07-06 18:24:02,2021-07-01
87,Stephens W. R. Jr.,10%,S - Sale,CONN,$25.79,"-3,909","-$100,822","4,392,030",0%,2021-07-06 18:23:01,2021-07-01
88,Lykken Steven J,Group VP,S - Sale+OE,HRL,$47.61,"-22,600","-$1,076,001","27,040",-46%,2021-07-06 18:21:21,2021-07-01
89,Laulis Julia M.,"COB, Pres, CEO",S - Sale+OE,CABO,"$1,902.12",-338,"-$642,917","9,536",-3%,2021-07-06 18:20:44,2021-07-01
90,"W.R. Stephens, III 2012 Trust",10%,S - Sale,CONN,$25.79,"-1,419","-$36,599","26,833",-5%,2021-07-06 18:20:01,2021-07-01
91,Susan Stephens Campbell 2012 Trust,10%,S - Sale,CONN,$25.79,"-1,387","-$35,774","26,262",-5%,2021-07-06 18:17:37,2021-07-01
92,"Snow Lake Holdings, Inc.",10%,S - Sale,CONN,$25.79,"-1,481","-$38,198","29,183",-5%,2021-07-06 18:15:09,2021-07-01
93,Reinhardt Max,"Pres, Rest of World",S - Sale,PCRX,$59.76,-421,"-$25,159","17,500",-2%,2021-07-06 18:14:42,2021-07-02
94,Elizabeth S. Campbell Trust A,10%,S - Sale,CONN,$25.79,"-1,481","-$38,198","28,037",-5%,2021-07-06 18:12:39,2021-07-01
95,Elizabeth Chisum Campbell 2012 Trust,10%,S - Sale,CONN,$25.79,"-1,387","-$35,774","26,262",-5%,2021-07-06 18:09:53,2021-07-01
96,Torley Helen,"Pres, CEO",S - Sale+OE,HALO,$45.97,"-50,000","-$2,298,650","537,160",-9%,2021-07-06 18:09:05,2021-07-06
97,Zhou Jeff,Dir,S - Sale,MPWR,$380.00,-500,"-$190,000","9,509",-5%,2021-07-06 18:08:32,2021-07-06
98,"Craig Dobbs Campbell, Jr. 2012 Trust",10%,S - Sale,CONN,$25.79,"-1,387","-$35,774","26,262",-5%,2021-07-06 18:07:12,2021-07-01
99,Brown Kirk Norman,10%,S - Sale+OE,ZI,$50.92,"-239,562","-$12,198,550",0,-100%,2021-07-06 18:07:01,2021-07-01
100,Hames Norman R,"Pres, COO-West Operations",S - Sale,RDNT,$33.66,"-35,000","-$1,178,069","300,160",-10%,2021-07-06 18:06:50,2021-07-01
101,Stephens Carol,10%,S - Sale,CONN,$25.79,-356,"-$9,182","6,719",-5%,2021-07-06 18:04:18,2021-07-01
102,Knowles Julius,Dir,S - Sale,KROS,$41.31,"-47,652","-$1,968,352","345,585",-12%,2021-07-06 18:02:40,2021-07-01
103,Arden Jewell Stephens 2012 Trust,10%,S - Sale,CONN,$25.79,"-1,419","-$36,599","26,833",-5%,2021-07-06 18:01:04,2021-07-01
104,Schmitt Becky,"EVP, Chief People Officer",S - Sale,CTSH,$69.43,"-2,888","-$200,514","18,222",-14%,2021-07-06 17:57:19,2021-07-01
105,Potter Michael G,CFO,S - Sale+OE,CRSR,$32.98,"-7,500","-$247,329",0,-100%,2021-07-06 17:55:00,2021-07-01
106,Ryan Jeffrey Miles,Chief People Officer,S - Sale,ZNGA,$10.70,"-11,319","-$121,113","20,591",-35%,2021-07-06 17:53:34,2021-07-01
107,Cheng Andrew,"Pres, CEO",S - Sale,AKRO,$24.78,"-17,500","-$433,650","342,489",-5%,2021-07-06 17:52:11,2021-07-02
108,Haas Bradley J.,10%,S - Sale+OE,LEVI,$28.00,-402,"-$11,258",0,-100%,2021-07-06 17:51:12,2021-07-01
109,Pincus Mark J,Dir,S - Sale,ZNGA,$10.74,"-1,232,194","-$13,233,764","56,798,684",-2%,2021-07-06 17:51:10,2021-07-02
110,Xiao Deming,Pres of MPS Asia Operations,S - Sale,MPWR,$380.00,"-7,734","-$2,938,920","310,126",-2%,2021-07-06 17:45:22,2021-07-06
111,Nougues Maximo F,CFO,S - Sale,PBYI,$9.26,-155,"-$1,435","68,063",0%,2021-07-06 17:43:28,2021-07-02
112,Blum Robert I,"Pres, CEO",S - Sale+OE,CYTK,$20.13,"-5,000","-$100,668","361,729",-1%,2021-07-06 17:42:26,2021-07-06
113,Canaan VIII LP,10%,S - Sale,LOV,$5.08,"-36,000","-$183,026","2,643,250",-1%,2021-07-06 17:39:10,2021-07-01
114,Clemons V Gordon,COB,S - Sale,CRVL,$134.64,"-4,500","-$605,861","1,497,707",0%,2021-07-06 17:37:43,2021-07-01
115,Ostertag Eric,"CEO, 10%",S - Sale,PSTX,$9.28,"-48,105","-$446,174","5,781,272",-1%,2021-07-06 17:35:44,2021-07-01
116,Brookman Barton R Jr,"Pres, CEO",S - Sale,PDCE,$47.31,"-2,000","-$94,620","362,482",-1%,2021-07-06 17:32:46,2021-07-01
117,Lang Steven,"Dir, 10%",P - Purchase,BRFH,$0.00,"+72,349",+$0,"20,035,824",0%,2021-07-06 17:30:11,2017-12-28
118,McGahn Daniel P,"COB, Pres, CEO",S - Sale,AMSC,$17.66,"-14,664","-$259,020","702,274",-2%,2021-07-06 17:19:56,2021-07-01
119,Murray Steven Joseph,Dir,S - Sale,BIGC,$65.23,"-142,258","-$9,279,509","1,811,623",-7%,2021-07-06 17:18:22,2021-07-01
120,Stock Michael,CFO,S - Sale,LBRT,$14.78,"-43,000","-$635,613","1,206,727",-3%,2021-07-06 17:18:09,2021-07-01
121,Klein Russell Scott,Chief Commercial Officer,S - Sale+OE,BIGC,$65.24,"-5,000","-$326,200","262,225",-2%,2021-07-06 17:17:35,2021-07-01
122,Cafaro Debra A,"COB, CEO",S - Sale+OE,VTR,$56.62,"-18,076","-$1,023,418","873,809",-2%,2021-07-06 17:17:20,2021-07-01
123,Bull Thomas,Principal Accounting Officer,S - Sale,MDB,$346.47,-523,"-$181,202","17,367",-3%,2021-07-06 17:16:43,2021-07-02
124,Ittycheria Dev,"Pres, CEO",S - Sale,MDB,$346.47,"-12,134","-$4,204,066","220,196",-5%,2021-07-06 17:16:30,2021-07-02
125,Pfeil Keith W,"SVP, CFO",S - Sale+OE,GMED,$77.43,-833,"-$64,499",0,-100%,2021-07-06 17:14:37,2021-07-01
126,Kosiba John W Jr,"SVP, CFO, Treasurer",S - Sale,AMSC,$17.66,"-6,409","-$113,183","237,727",-3%,2021-07-06 17:14:07,2021-07-01
127,Robinson Ronald A,Employee,S - Sale,ALG,$152.51,"-1,493","-$227,694","191,860",-1%,2021-07-06 17:06:23,2021-07-02
128,Frati Robert,"SVP Sales, Customer Success",S - Sale,WORK,$44.29,"-2,726","-$120,735","311,483",-1%,2021-07-06 17:05:48,2021-07-01
129,Schellhase David,"GC, Secretary",S - Sale,WORK,$44.29,"-1,499","-$66,391","328,293",0%,2021-07-06 17:03:59,2021-07-01
130,Erck Stanley C,"Pres, CEO",S - Sale+OE,NVAX,$214.38,"-105,179","-$22,548,579","20,495",-84%,2021-07-06 17:03:46,2021-07-01
131,Lindell Jody S,Dir,S - Sale+OE,COO,$405.54,"-4,500","-$1,824,919","19,793",-19%,2021-07-06 17:03:02,2021-07-02
132,Zell Brandon,Chief Accounting Officer,S - Sale+OE,WORK,$44.29,"-3,338","-$147,840","189,116",-2%,2021-07-06 17:02:40,2021-07-01
133,Callen David,"SVP, Chief Accounting Offic",S - Sale,NRG,$40.08,"-13,300","-$533,036","27,352",-33%,2021-07-06 17:02:28,2021-07-01
134,Cho Alex,"Pres, Personal Systems",S - Sale+OE,HPQ,$30.58,"-8,314","-$254,242","8,155",-50%,2021-07-06 17:02:03,2021-07-06
135,Sevalia Piyush B,EVP Marketing,S - Sale,SITM,$124.03,"-2,307","-$286,137","106,288",-2%,2021-07-06 17:01:39,2021-07-01
136,Henderson Cal,CTO,S - Sale,WORK,$44.29,"-1,499","-$66,391","123,893",-1%,2021-07-06 17:01:34,2021-07-01
137,More Robert J,Dir,S - Sale,VIR,$44.92,"-11,670","-$524,270","543,810",-2%,2021-07-06 17:01:28,2021-07-01
138,Lunsford Jeffrey W,Dir,S - Sale,NCNO,$61.17,"-2,000","-$122,332","262,005",-1%,2021-07-06 17:01:05,2021-07-01
139,Donzella Oreste,EVP,S - Sale,KLAC,$324.15,-136,"-$44,084","41,128",0%,2021-07-06 16:56:19,2021-07-01
140,Lorig Brian,EVP,S - Sale,KLAC,$313.73,-96,"-$30,118","34,724",0%,2021-07-06 16:55:44,2021-07-02
141,"Pcp Managers Gp, LLC",10%,S - Sale,PFMT,$3.70,"-1,994,784","-$7,380,701","9,861,100",-17%,2021-07-06 16:54:57,2021-07-01
142,"Parthenon Dcs Holdings, LLC",10%,S - Sale,PFMT,$3.70,"-1,994,784","-$7,380,701","9,861,100",-17%,2021-07-06 16:51:47,2021-07-01
143,Sciammas Maurice,"SVPof Sales, Marketing",S - Sale,MPWR,$370.45,"-4,305","-$1,594,787","316,026",-1%,2021-07-06 16:47:01,2021-07-01
144,Blegen Theodore,CFO,S - Sale,MPWR,$370.45,-905,"-$335,257","147,751",-1%,2021-07-06 16:46:22,2021-07-01
145,Hsing Michael,CEO,S - Sale,MPWR,$370.45,"-10,960","-$4,060,132","1,146,555",-1%,2021-07-06 16:45:48,2021-07-01
146,Pribor Jeffrey,"SVP,CFO, Treasurer",S - Sale,INSW,$18.80,"-1,000","-$18,799","46,164",-2%,2021-07-06 16:45:38,2021-07-01
147,Dowdell Robert E,Dir,S - Sale,PLMR,$76.44,"-7,500","-$573,333","63,789",-11%,2021-07-06 16:45:26,2021-07-01
148,Xiao Deming,Pres of MPS Asia Operations,S - Sale,MPWR,$370.45,"-4,305","-$1,594,787","317,860",-1%,2021-07-06 16:44:43,2021-07-01
149,Grimes Scott D.,Dir,S - Sale,CDLX,$124.07,"-2,000","-$248,138","315,786",-1%,2021-07-06 16:43:24,2021-07-02
150,Orbimed Advisors LLC,10%,S - Sale,SWTX,$85.01,"-15,959","-$1,356,675","6,028,307",0%,2021-07-06 16:42:46,2021-07-01
151,Savory Nigel K,"MD, Europe",S - Sale,EPAY,$37.34,"-1,421","-$53,064","126,214",-1%,2021-07-06 16:40:03,2021-07-02
152,Murthy Rathi,Dir,S - Sale,PD,$42.56,"-3,165","-$134,687","3,166",-50%,2021-07-06 16:39:30,2021-07-01
153,Glaxosmithkline Plc,10%,P - Purchase,CVRX,$18.00,"+275,000","+$4,950,000","1,007,583",+38%,2021-07-06 16:38:14,2021-07-02
154,Aspbury Robert,"Pres, SIMCYP",S - Sale,CERT,$28.03,"-19,354","-$542,493","358,585",-5%,2021-07-06 16:36:15,2021-07-01
155,Saltiel Albert,SVP,S - Sale+OE,AZO,"$1,549.22","-3,200","-$4,957,498",196,-94%,2021-07-06 16:35:55,2021-07-02
156,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,NVDA,$808.91,"-100,000","-$80,890,492","21,476,675",0%,2021-07-06 16:35:50,2021-07-01
157,Pyle Michael R,Chief Technology Strategist,S - Sale,PEGA,$138.50,"-1,000","-$138,504","11,966",-8%,2021-07-06 16:35:43,2021-07-01
158,"Tpg Group Holdings (Sbs) Advisors, Inc.",10%,S - Sale,PGNY,$60.37,"-202,732","-$12,239,467","10,897,778",-2%,2021-07-06 16:35:35,2021-07-01
159,Finkelstein J J,"Pres, CEO",P - Purchase,RGRX,$0.20,"+75,000","+$15,000","1,712,991",+5%,2021-07-06 16:35:06,2021-06-30
160,Hawley Kirsten M,"SVP, Chief Ppl, Places Officer",S - Sale+OE,BFA,$74.65,"-7,873","-$587,693","9,973",-44%,2021-07-06 16:34:52,2021-07-01
161,Goldstein Allan L,Dir,P - Purchase,RGRX,$0.20,"+125,000","+$25,000","1,637,793",+8%,2021-07-06 16:34:27,2021-06-30
162,Hoge Stephen,Pres,S - Sale+OE,MRNA,$235.21,"-10,000","-$2,352,100","1,765,646",-1%,2021-07-06 16:33:11,2021-07-02
163,Brazier Allan J,Chief Accounting Officer,S - Sale,APTV,$160.00,"-8,500","-$1,360,000","19,467",-30%,2021-07-06 16:33:03,2021-07-02
164,Kelly John Francis,"GM, Legal Solutions",S - Sale,EPAY,$37.34,-322,"-$12,024","54,247",-1%,2021-07-06 16:33:01,2021-07-02
165,Oringer Jonathan,"Exec COB, 10%",S - Sale,SSTK,$99.41,"-28,162","-$2,799,624","13,096,638",0%,2021-07-06 16:31:21,2021-07-01
166,Baratta Maurizio,Chief Accounting Officer,S - Sale,COUP,$260.52,-507,"-$132,084","2,201",-19%,2021-07-06 16:30:50,2021-07-01
167,Woodward D Andrew,CEO,P - Purchase,BKEP,$0.00,"+10,853",+$0,"355,846",+3%,2021-07-06 16:30:48,2021-07-01
168,Thompson Kimberly Kraig,"CEO, CFO, 10%",S - Sale,KBLB,$0.00,"-60,000",-$0,"203,869,547",0%,2021-07-06 16:30:31,2021-07-02
169,Hrusovsky E Kevin,"COB, Pres, CEO",S - Sale,QTRX,$58.38,"-3,658","-$213,543","947,267",0%,2021-07-06 16:20:17,2021-07-02
170,Stice Travis D.,CEO,S - Sale,FANG,$100.00,"-40,000","-$4,000,000","417,823",-9%,2021-07-06 16:18:56,2021-07-01
171,Amin Tarang,CEO,S - Sale,ELF,$26.98,"-67,166","-$1,812,296","948,982",-7%,2021-07-06 16:17:08,2021-07-01
172,Watts Ryan J.,"Pres, CEO",S - Sale,DNLI,$77.25,"-18,333","-$1,416,300","2,349,100",-1%,2021-07-06 16:14:11,2021-07-01
173,Benioff Marc,"Chair of the Board, CEO",S - Sale+OE,CRM,$247.82,"-20,000","-$4,956,374","28,986,249",0%,2021-07-06 16:14:04,2021-07-02
174,Zawoyski Sara E,"EVP, CFO",S - Sale+OE,NVT,$32.00,"-1,954","-$62,528","34,200",-5%,2021-07-06 16:13:29,2021-07-01
175,Sakys John,CFO,S - Sale+OE,MLAB,$267.04,"-1,000","-$267,040","7,514",-12%,2021-07-06 16:11:24,2021-07-01
176,Porcella Kelly Amanda,"Chief Admin Off, GC",S - Sale,LADR,$11.62,"-3,000","-$34,860","116,798",-3%,2021-07-06 16:10:27,2021-07-02
177,Merrill Judd,CFO,S - Sale,AQMS,$2.71,"-85,311","-$231,193","482,249",-15%,2021-07-06 16:07:47,2021-07-02
178,Cotton Stephen,CEO,S - Sale,AQMS,$2.71,"-193,173","-$523,499","1,483,354",-12%,2021-07-06 16:06:48,2021-07-02
